Attrition,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Age Group,Current Employee,Daily Rate,Distance From Home,Distance Status,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Job Satisfaction Status,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Performance Status,Relationship Satisfaction,Stock Option Level,Total Working Years,Experience Status,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-16,Female,Manufacturing Director,Divorced,No,1,29,26-35,1,1389,21,Very-far,Master's Degree,2,51,4,3,1,Very Satisfied,9980,10195,1,11,3,High,3,1,10,0-10,3,10,9,8,8
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-17,Male,Research Scientist,Divorced,Yes,5,32,26-35,1,334,33,Very-far,Associates Degree,1,80,4,1,2,Satisfied,3298,15053,0,12,3,High,4,2,7,0-10,2,6,2,0,5
Yes,Non-Travel,R&D,Medical,STAFF-18,Male,Laboratory Technician,Divorced,Yes,2,22,18-25,1,1123,16,Very-far,Associates Degree,4,96,4,1,4,utterly unsatisfied,2935,7324,1,13,3,High,2,2,1,0-10,2,1,0,0,0
Yes,Travel_Rarely,Sales,Life Sciences,STAFF-19,Female,Manager,Married,No,3,53,46-55,1,1219,24,Very-far,Master's Degree,1,78,2,4,4,utterly unsatisfied,15427,22021,2,16,3,High,3,0,31,30 Plus,3,25,8,3,7
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-20,Male,Research Scientist,Single,Yes,3,38,36-45,1,371,24,Very-far,Bachelor's Degree,4,45,3,1,4,utterly unsatisfied,3944,4306,5,11,3,High,3,0,6,0-10,3,3,2,1,2
Yes,Non-Travel,R&D,Other,STAFF-21,Female,Manufacturing Director,Divorced,No,5,24,18-25,1,673,21,Very-far,Associates Degree,1,96,4,2,3,Unsatisfied,4011,8232,0,18,3,High,4,1,5,0-10,2,4,2,1,3
Yes,Travel_Rarely,Sales,Life Sciences,STAFF-22,Male,Sales Representative,Single,No,4,36,36-45,0,1218,19,Very-far,Master's Degree,3,82,2,1,1,Very Satisfied,3407,6986,7,23,4,Low,2,0,10,0-10,3,5,3,0,3
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-23,Female,Research Director,Single,No,4,34,26-35,1,419,19,Very-far,Master's Degree,1,53,3,3,2,Satisfied,11994,21293,0,11,3,High,3,0,13,11.- 20,3,12,6,2,11
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-24,Male,Research Scientist,Single,No,6,21,18-25,1,391,15,Far,Associates Degree,3,96,3,1,4,utterly unsatisfied,1232,19281,1,14,3,High,4,0,0,0-10,3,0,0,0,0
Yes,Travel_Rarely,R&D,Medical,STAFF-25,Male,Research Scientist,Single,No,2,34,26-35,0,699,28,Very-far,High School,2,83,3,1,1,Very Satisfied,2960,17102,2,11,3,High,3,0,8,0-10,3,4,2,1,3
No,Travel_Rarely,R&D,Other,STAFF-26,Female,Manager,Divorced,No,3,53,46-55,1,1282,33,Very-far,Bachelor's Degree,3,58,3,5,3,Unsatisfied,19094,10735,4,11,3,High,4,1,26,21-30,2,14,13,4,8
Yes,Travel_Frequently,R&D,Life Sciences,STAFF-27,Female,Research Scientist,Single,Yes,5,32,26-35,0,1125,16,Very-far,High School,2,72,1,1,1,Very Satisfied,3919,4681,1,22,4,Low,2,0,10,0-10,3,10,2,6,7
No,Travel_Rarely,Sales,Marketing,STAFF-28,Male,Sales Executive,Married,No,2,42,36-45,1,691,8,Near-by,Master's Degree,3,48,3,2,2,Satisfied,6825,21173,0,11,3,High,4,1,10,0-10,3,9,7,4,2
No,Travel_Rarely,R&D,Medical,STAFF-29,Female,Healthcare Representative,Married,No,4,44,36-45,1,477,19,Very-far,Master's Degree,1,42,2,3,4,utterly unsatisfied,10248,2094,3,14,3,High,4,1,24,21-30,3,22,6,5,17
No,Travel_Rarely,Sales,Marketing,STAFF-30,Female,Manager,Single,No,2,46,46-55,1,705,24,Very-far,Master's Degree,2,83,3,5,1,Very Satisfied,18947,22822,3,12,3,High,4,0,22,21-30,2,2,2,2,1
No,Travel_Rarely,R&D,Medical,STAFF-31,Male,Laboratory Technician,Single,No,3,33,26-35,1,924,24,Very-far,Bachelor's Degree,3,78,3,1,4,utterly unsatisfied,2496,6670,4,11,3,High,4,0,7,0-10,3,1,1,0,0
No,Travel_Rarely,R&D,Other,STAFF-32,Male,Healthcare Representative,Married,Yes,5,44,36-45,1,1459,10,Near-by,Master's Degree,4,41,3,2,4,utterly unsatisfied,6465,19121,2,13,3,High,4,0,9,0-10,4,4,2,1,3
No,Travel_Rarely,R&D,Medical,STAFF-33,Male,Laboratory Technician,Single,No,5,30,26-35,1,125,19,Very-far,Associates Degree,4,83,2,1,3,Unsatisfied,2206,16117,1,13,3,High,1,0,10,0-10,3,10,0,1,8
Yes,Travel_Rarely,Sales,Technical Degree,STAFF-34,Male,Sales Representative,Married,No,6,39,36-45,0,895,33,Very-far,Bachelor's Degree,4,56,3,2,4,utterly unsatisfied,2086,3335,3,14,3,High,3,1,19,11.- 20,4,1,0,0,0
Yes,Travel_Rarely,R&D,Medical,STAFF-35,Male,Research Scientist,Married,Yes,2,24,18-25,0,813,17,Very-far,Bachelor's Degree,2,61,3,1,4,utterly unsatisfied,2293,3020,2,16,3,High,1,1,6,0-10,2,2,0,2,0
No,Travel_Rarely,R&D,Medical,STAFF-36,Female,Research Scientist,Divorced,No,3,43,36-45,1,1273,24,Very-far,Associates Degree,4,72,4,1,3,Unsatisfied,2645,21923,1,12,3,High,4,2,6,0-10,2,5,3,1,4
Yes,Travel_Rarely,Sales,Marketing,STAFF-37,Male,Sales Representative,Married,Yes,2,50,46-55,0,869,33,Very-far,Associates Degree,1,86,2,1,3,Unsatisfied,2683,3810,1,14,3,High,3,0,3,0-10,3,3,2,0,2
No,Travel_Rarely,Sales,Marketing,STAFF-38,Female,Sales Representative,Married,No,3,35,26-35,1,890,24,Very-far,Bachelor's Degree,4,97,3,1,4,utterly unsatisfied,2014,9687,1,13,3,High,1,0,2,0-10,3,2,2,2,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-39,Female,Research Scientist,Married,Yes,3,36,36-45,1,852,33,Very-far,Master's Degree,2,82,2,1,1,Very Satisfied,3419,13072,9,14,3,High,4,1,6,0-10,4,1,1,0,0
No,Travel_Frequently,Sales,Life Sciences,STAFF-40,Female,Sales Executive,Married,No,3,33,26-35,1,1141,17,Very-far,Bachelor's Degree,3,42,4,2,1,Very Satisfied,5376,3193,2,19,3,High,1,2,10,0-10,3,5,3,1,3
No,Travel_Rarely,R&D,Other,STAFF-41,Male,Laboratory Technician,Divorced,No,3,35,26-35,1,464,4,Near-by,Associates Degree,3,75,3,1,4,utterly unsatisfied,1951,10910,1,12,3,High,3,1,1,0-10,3,1,0,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-42,Female,Laboratory Technician,Divorced,No,6,27,26-35,1,1240,24,Very-far,Master's Degree,4,33,3,1,1,Very Satisfied,2341,19715,1,13,3,High,4,1,1,0-10,3,1,0,0,0
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-43,Male,Laboratory Technician,Single,No,2,26,26-35,0,1357,25,Very-far,Bachelor's Degree,1,48,1,1,3,Unsatisfied,2293,10558,1,12,3,High,3,0,1,0-10,2,1,0,0,1
No,Travel_Frequently,Sales,Life Sciences,STAFF-44,Male,Sales Executive,Single,No,0,27,26-35,1,994,8,Near-by,Bachelor's Degree,4,37,3,3,3,Unsatisfied,8726,2975,1,15,3,High,4,0,9,0-10,3,9,8,1,7
No,Travel_Frequently,R&D,Medical,STAFF-45,Female,Laboratory Technician,Single,No,2,30,26-35,1,721,17,Very-far,Associates Degree,3,58,3,2,4,utterly unsatisfied,4011,10781,1,23,4,Low,4,0,12,11.- 20,3,12,8,3,7
Yes,Travel_Rarely,R&D,Technical Degree,STAFF-46,Female,Research Director,Married,No,0,41,36-45,0,1360,27,Very-far,Bachelor's Degree,2,49,3,5,3,Unsatisfied,19545,16280,1,12,3,High,4,0,23,21-30,3,22,15,15,8
No,Non-Travel,Sales,Marketing,STAFF-47,Male,Sales Executive,Single,No,2,34,26-35,1,1065,23,Very-far,Master's Degree,2,72,3,2,3,Unsatisfied,4568,10034,0,20,4,Low,3,0,10,0-10,3,9,5,8,7
No,Travel_Rarely,R&D,Life Sciences,STAFF-48,Male,Research Scientist,Married,No,1,37,36-45,1,408,19,Very-far,Associates Degree,2,73,3,1,2,Satisfied,3022,10227,4,21,4,Low,1,0,8,0-10,3,1,0,0,0
No,Travel_Frequently,Sales,Marketing,STAFF-49,Male,Sales Executive,Single,Yes,4,46,46-55,1,1211,33,Very-far,Master's Degree,1,98,3,2,4,utterly unsatisfied,5772,20445,4,21,4,Low,3,0,14,11.- 20,3,9,6,0,8
No,Travel_Rarely,R&D,Life Sciences,STAFF-50,Male,Laboratory Technician,Married,No,2,35,26-35,1,1229,8,Near-by,High School,4,36,4,1,4,utterly unsatisfied,2269,4892,1,19,3,High,4,0,1,0-10,3,1,0,0,1
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-51,Male,Laboratory Technician,Single,Yes,2,48,46-55,0,626,17,Very-far,Associates Degree,1,98,2,3,3,Unsatisfied,5381,19294,9,13,3,High,4,0,23,21-30,3,1,0,0,0
Yes,Travel_Rarely,R&D,Technical Degree,STAFF-52,Male,Laboratory Technician,Single,Yes,3,28,26-35,0,1434,33,Very-far,Master's Degree,3,50,3,1,3,Unsatisfied,3441,11179,1,13,3,High,3,0,2,0-10,2,2,2,2,2
No,Travel_Rarely,Sales,Marketing,STAFF-53,Female,Sales Executive,Divorced,Yes,2,44,36-45,1,1488,17,Very-far,Doctoral Degree,2,75,3,2,1,Very Satisfied,5454,4009,5,21,4,Low,3,1,9,0-10,2,4,3,1,3
No,Non-Travel,R&D,Medical,STAFF-54,Male,Healthcare Representative,Married,Yes,3,35,26-35,1,1097,21,Very-far,Associates Degree,3,79,2,3,1,Very Satisfied,9884,8302,2,13,3,High,3,1,10,0-10,3,4,0,2,3
No,Travel_Rarely,Sales,Marketing,STAFF-55,Female,Sales Executive,Married,Yes,2,26,26-35,1,1443,23,Very-far,Bachelor's Degree,3,47,2,2,4,utterly unsatisfied,4157,21436,7,19,3,High,3,1,5,0-10,2,2,2,0,0
No,Travel_Frequently,R&D,Life Sciences,STAFF-56,Female,Research Director,Single,Yes,1,33,26-35,1,515,17,Very-far,Associates Degree,1,98,3,3,4,utterly unsatisfied,13458,15146,1,12,3,High,3,0,15,11.- 20,3,15,14,8,12
No,Travel_Frequently,Sales,Life Sciences,STAFF-57,Male,Sales Executive,Married,No,3,35,26-35,1,853,18,Very-far,Doctoral Degree,2,71,3,3,1,Very Satisfied,9069,11031,1,22,4,Low,4,1,9,0-10,2,9,8,1,8
No,Travel_Rarely,R&D,Medical,STAFF-58,Female,Laboratory Technician,Married,Yes,3,35,26-35,1,1142,23,Very-far,Master's Degree,3,30,3,1,1,Very Satisfied,4014,16002,3,15,3,High,3,1,4,0-10,3,2,2,2,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-59,Male,Laboratory Technician,Divorced,No,3,31,26-35,1,655,19,Very-far,Master's Degree,4,48,3,2,4,utterly unsatisfied,5915,9528,3,22,4,Low,4,1,10,0-10,2,7,7,1,7
No,Travel_Rarely,R&D,Life Sciences,STAFF-60,Male,Manufacturing Director,Divorced,No,2,37,36-45,1,1115,17,Very-far,Master's Degree,1,51,2,2,3,Unsatisfied,5993,2689,1,18,3,High,3,1,7,0-10,4,7,5,0,7
No,Travel_Rarely,R&D,Medical,STAFF-61,Male,Manufacturing Director,Married,Yes,3,32,26-35,1,427,17,Very-far,Bachelor's Degree,1,33,3,2,4,utterly unsatisfied,6162,10877,1,22,4,Low,2,1,9,0-10,3,9,8,7,8
No,Travel_Frequently,R&D,Life Sciences,STAFF-62,Female,Laboratory Technician,Single,No,2,38,36-45,1,653,29,Very-far,Doctoral Degree,4,50,3,2,4,utterly unsatisfied,2406,5456,1,11,3,High,4,0,10,0-10,3,10,3,9,9
No,Travel_Rarely,R&D,Medical,STAFF-63,Female,Research Director,Divorced,Yes,2,50,46-55,1,989,19,Very-far,Associates Degree,2,43,2,5,3,Unsatisfied,18740,16701,5,12,3,High,4,1,29,21-30,2,27,3,13,8
No,Travel_Rarely,Sales,Life Sciences,STAFF-64,Female,Sales Executive,Single,No,3,59,55 Plus,1,1435,25,Very-far,Bachelor's Degree,1,99,3,3,1,Very Satisfied,7637,2354,7,11,3,High,4,0,28,21-30,2,21,16,7,9
No,Travel_Rarely,R&D,Technical Degree,STAFF-65,Female,Healthcare Representative,Divorced,No,2,36,36-45,1,1223,8,Near-by,Bachelor's Degree,3,59,3,3,3,Unsatisfied,10096,8202,1,13,3,High,2,3,17,11.- 20,3,17,14,12,8
No,Travel_Rarely,R&D,Medical,STAFF-66,Female,Manager,Divorced,Yes,2,55,46-55,1,836,8,Near-by,Bachelor's Degree,4,33,3,4,3,Unsatisfied,14756,19730,2,14,3,High,3,3,21,21-30,3,5,0,0,2
No,Travel_Frequently,R&D,Life Sciences,STAFF-67,Male,Manufacturing Director,Single,No,3,36,36-45,1,1195,21,Very-far,Bachelor's Degree,2,95,2,2,2,Satisfied,6499,22656,1,13,3,High,3,0,6,0-10,3,6,5,0,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-68,Male,Research Scientist,Divorced,No,2,45,36-45,1,1339,19,Very-far,Bachelor's Degree,2,59,3,3,1,Very Satisfied,9724,18787,2,17,3,High,3,1,25,21-30,3,1,0,0,0
No,Travel_Frequently,R&D,Medical,STAFF-69,Male,Research Scientist,Married,No,2,35,26-35,1,664,17,Very-far,Bachelor's Degree,2,79,3,1,1,Very Satisfied,2194,5868,4,13,3,High,4,1,5,0-10,2,3,2,1,2
Yes,Travel_Rarely,R&D,Medical,STAFF-70,Male,Research Scientist,Married,Yes,0,36,36-45,0,318,19,Very-far,Bachelor's Degree,4,79,2,1,3,Unsatisfied,3388,21777,0,17,3,High,1,1,2,0-10,2,1,0,0,0
No,Travel_Frequently,Sales,Life Sciences,STAFF-71,Female,Sales Executive,Single,No,2,59,55 Plus,1,1225,17,Very-far,High School,1,57,2,2,3,Unsatisfied,5473,24668,7,11,3,High,4,0,20,11.- 20,2,4,3,1,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-72,Male,Research Scientist,Married,No,3,29,26-35,1,1328,24,Very-far,Bachelor's Degree,3,76,3,1,2,Satisfied,2703,4956,0,23,4,Low,4,1,6,0-10,3,5,4,0,4
No,Travel_Rarely,R&D,Medical,STAFF-73,Male,Research Scientist,Single,No,4,31,26-35,1,1082,17,Very-far,Master's Degree,3,87,3,1,2,Satisfied,2501,18775,1,17,3,High,2,0,1,0-10,3,1,1,1,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-74,Male,Research Scientist,Married,No,3,32,26-35,1,548,17,Very-far,Bachelor's Degree,2,66,3,2,2,Satisfied,6220,7346,1,17,3,High,2,2,10,0-10,3,10,4,0,9
No,Travel_Rarely,R&D,Life Sciences,STAFF-75,Female,Laboratory Technician,Married,No,3,36,36-45,1,132,28,Very-far,Bachelor's Degree,2,55,4,1,4,utterly unsatisfied,3038,22002,3,12,3,High,2,0,5,0-10,3,1,0,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-76,Female,Manufacturing Director,Single,No,2,31,26-35,1,746,8,Near-by,Master's Degree,3,61,3,2,4,utterly unsatisfied,4424,20682,1,23,4,Low,4,0,11,11.- 20,3,11,7,1,8
No,Travel_Rarely,Sales,Marketing,STAFF-77,Male,Sales Executive,Single,No,2,35,26-35,1,776,17,Very-far,Master's Degree,3,32,2,2,1,Very Satisfied,4312,23016,0,14,3,High,2,0,16,11.- 20,3,15,13,2,8
No,Travel_Rarely,R&D,Other,STAFF-78,Male,Research Director,Married,Yes,3,45,36-45,1,193,28,Very-far,Master's Degree,4,52,3,3,1,Very Satisfied,13245,15067,4,14,3,High,2,0,17,11.- 20,4,0,0,0,0
No,Travel_Rarely,R&D,Medical,STAFF-79,Male,Research Director,Single,No,3,37,36-45,1,397,19,Very-far,Master's Degree,1,30,3,3,3,Unsatisfied,13664,25258,4,13,3,High,1,0,16,11.- 20,4,5,2,0,2
No,Travel_Rarely,HR,Medical,STAFF-80,Male,Human Resources,Divorced,Yes,2,46,46-55,1,945,33,Very-far,Associates Degree,2,80,3,2,2,Satisfied,5021,10425,8,22,4,Low,4,1,16,11.- 20,3,4,2,0,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-81,Male,Laboratory Technician,Married,Yes,1,30,26-35,1,852,17,Very-far,High School,4,55,2,2,4,utterly unsatisfied,5126,15998,1,12,3,High,3,2,10,0-10,2,10,8,3,0
No,Travel_Rarely,R&D,Medical,STAFF-82,Male,Research Scientist,Single,No,3,35,26-35,1,1214,17,Very-far,Bachelor's Degree,2,30,2,1,3,Unsatisfied,2859,26278,1,18,3,High,1,0,6,0-10,3,6,4,0,4
No,Travel_Rarely,Sales,Life Sciences,STAFF-83,Male,Sales Executive,Married,No,4,55,46-55,1,111,17,Very-far,Associates Degree,1,70,3,3,4,utterly unsatisfied,10239,18092,3,14,3,High,4,1,24,21-30,3,1,0,1,0
No,Non-Travel,R&D,Medical,STAFF-84,Female,Research Scientist,Divorced,Yes,3,38,36-45,1,573,28,Very-far,Bachelor's Degree,2,79,1,2,4,utterly unsatisfied,5329,15717,7,12,3,High,4,3,17,11.- 20,3,13,11,1,9
No,Travel_Rarely,R&D,Medical,STAFF-85,Male,Manufacturing Director,Married,No,2,34,26-35,1,1153,17,Very-far,Associates Degree,1,94,3,2,2,Satisfied,4325,17736,1,15,3,High,3,0,5,0-10,3,5,2,1,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-86,Male,Manufacturing Director,Single,No,3,56,55 Plus,1,1400,19,Very-far,Bachelor's Degree,4,49,1,3,4,utterly unsatisfied,7260,21698,4,11,3,High,1,0,37,30 Plus,2,6,4,0,2
No,Travel_Rarely,Sales,Technical Degree,STAFF-87,Male,Sales Representative,Divorced,No,3,23,18-25,1,541,24,Very-far,High School,3,62,3,1,1,Very Satisfied,2322,9518,3,13,3,High,3,1,3,0-10,3,0,0,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-88,Male,Laboratory Technician,Married,No,4,51,46-55,1,432,19,Very-far,Master's Degree,4,96,3,1,4,utterly unsatisfied,2075,18725,3,23,4,Low,2,2,10,0-10,3,4,2,0,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-89,Male,Healthcare Representative,Married,No,3,30,26-35,1,288,24,Very-far,Bachelor's Degree,3,99,2,2,4,utterly unsatisfied,4152,15830,1,19,3,High,1,3,11,11.- 20,3,11,10,10,8
Yes,Travel_Rarely,Sales,Medical,STAFF-90,Male,Sales Executive,Single,No,3,46,46-55,0,669,19,Very-far,Associates Degree,3,64,2,3,4,utterly unsatisfied,9619,13596,1,16,3,High,4,0,9,0-10,3,9,8,4,7
No,Travel_Frequently,R&D,Life Sciences,STAFF-91,Male,Healthcare Representative,Married,No,3,40,36-45,1,530,17,Very-far,Master's Degree,3,78,2,4,2,Satisfied,13503,14115,1,22,4,Low,4,1,22,21-30,2,22,3,11,11
No,Travel_Rarely,Sales,Marketing,STAFF-92,Male,Sales Executive,Single,Yes,2,51,46-55,1,632,21,Very-far,Master's Degree,3,71,3,2,4,utterly unsatisfied,5441,8423,0,22,4,Low,4,0,11,11.- 20,1,10,7,1,0
No,Travel_Rarely,Sales,Medical,STAFF-93,Female,Sales Executive,Divorced,Yes,4,30,26-35,1,1334,4,Near-by,Associates Degree,3,63,2,2,2,Satisfied,5209,19760,1,12,3,High,2,3,11,11.- 20,2,11,8,2,7
No,Travel_Frequently,R&D,Medical,STAFF-94,Male,Healthcare Representative,Married,Yes,5,46,46-55,1,638,17,Very-far,Bachelor's Degree,3,40,2,3,1,Very Satisfied,10673,3142,2,13,3,High,3,1,21,21-30,2,10,9,9,5
No,Travel_Rarely,Sales,Medical,STAFF-95,Male,Sales Executive,Single,No,0,32,26-35,1,1093,28,Very-far,Master's Degree,2,87,3,2,3,Unsatisfied,5010,24301,1,16,3,High,1,0,12,11.- 20,3,11,8,5,7
No,Travel_Rarely,R&D,Technical Degree,STAFF-96,Female,Research Director,Married,No,5,54,46-55,1,1217,24,Very-far,Master's Degree,1,60,3,3,3,Unsatisfied,13549,24001,9,12,3,High,1,1,16,11.- 20,1,4,3,0,3
No,Travel_Rarely,Sales,Other,STAFF-97,Female,Sales Executive,Married,No,2,24,18-25,1,1353,33,Very-far,Associates Degree,1,33,3,2,3,Unsatisfied,4999,17519,0,21,4,Low,1,1,4,0-10,2,3,2,0,2
No,Non-Travel,Sales,Medical,STAFF-98,Male,Sales Executive,Married,No,3,28,26-35,1,120,4,Near-by,Bachelor's Degree,2,43,3,2,3,Unsatisfied,4221,8863,1,15,3,High,2,0,5,0-10,4,5,4,0,4
No,Travel_Rarely,Sales,Medical,STAFF-99,Male,Sales Executive,Single,No,1,58,55 Plus,1,682,10,Near-by,Master's Degree,4,37,3,4,3,Unsatisfied,13872,24409,0,13,3,High,3,0,38,30 Plus,2,37,10,1,8
No,Non-Travel,R&D,Medical,STAFF-100,Male,Laboratory Technician,Married,No,3,44,36-45,1,489,23,Very-far,Bachelor's Degree,2,67,3,2,2,Satisfied,2042,25043,4,12,3,High,3,1,17,11.- 20,4,3,2,1,2
Yes,Travel_Rarely,HR,Human Resources,STAFF-101,Male,Human Resources,Divorced,Yes,3,37,36-45,0,807,28,Very-far,Master's Degree,3,63,3,1,1,Very Satisfied,2073,23648,4,22,4,Low,4,0,7,0-10,3,3,2,0,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-102,Male,Research Scientist,Single,No,2,32,26-35,1,827,17,Very-far,High School,4,71,3,1,1,Very Satisfied,2956,15178,1,13,3,High,4,0,1,0-10,3,1,0,0,0
Yes,Travel_Frequently,R&D,Life Sciences,STAFF-103,Female,Laboratory Technician,Single,Yes,5,20,18-25,0,871,28,Very-far,Bachelor's Degree,4,66,2,1,4,utterly unsatisfied,2926,19783,1,18,3,High,2,0,1,0-10,3,1,0,1,0
No,Travel_Rarely,R&D,Other,STAFF-104,Female,Research Scientist,Single,No,3,34,26-35,1,665,28,Very-far,Master's Degree,1,41,3,2,3,Unsatisfied,4809,12482,1,14,3,High,3,0,16,11.- 20,3,16,13,2,10
No,Non-Travel,R&D,Life Sciences,STAFF-105,Male,Healthcare Representative,Divorced,No,2,37,36-45,1,1040,24,Very-far,Associates Degree,3,100,2,2,4,utterly unsatisfied,5163,15850,5,14,3,High,4,1,17,11.- 20,4,1,0,0,0
No,Non-Travel,HR,Human Resources,STAFF-106,Female,Manager,Married,No,3,59,55 Plus,1,1420,24,Very-far,Master's Degree,3,32,2,5,4,utterly unsatisfied,18844,21922,9,21,4,Low,4,1,30,21-30,3,3,2,2,2
No,Travel_Frequently,R&D,Life Sciences,STAFF-107,Female,Research Director,Married,Yes,1,50,46-55,1,1115,17,Very-far,Bachelor's Degree,1,73,3,5,2,Satisfied,18172,9755,3,19,3,High,1,0,28,21-30,2,8,3,0,7
